,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
7396.json,1.0158645513931504,0.009862762634884954,1,99.74259577333343,2020-07-14 06:43:25.388614851,2020-07-14 06:43:26.404479403,,,,,,,,
7397.json,1.1673449527373219,0.009892753836756965,3,100,2020-07-14 06:43:10.152059200,2020-07-14 06:43:11.319404152,,,,,,,,
7417.json,1.0318624183442209,0.009827261127087818,2,100,2020-07-14 08:57:07.495000667,2020-07-14 08:57:08.526863085,,,,,,,,
7455.json,1.2637555497923394,0.009873090232752652,4,97.33095487602704,2020-07-14 09:03:25.459007617,2020-07-14 09:03:26.722763167,,,,,,,,
