,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
2646.json,1.5531426265892705,0.0098926281948361,57,98.00002235836943,2020-07-18 08:09:55.186618824,2020-07-18 08:09:56.739761450,23.231527592585635,27.79710227770683,-50.303856,-45.738472,DUR,Present,Travelling,3.0
2648.json,1.6488083048706343,0.009932580149823,4,97.45715373425718,2020-07-18 08:09:37.610132606,2020-07-18 08:09:39.258940911,23.502969898463448,26.325318820234656,-46.840103,-43.998405,DUR,Present,Travelling,3.0
2656.json,1.7277696307159047,0.0099297105213557,4,97.13048949501622,2020-07-18 08:09:39.962671644,2020-07-18 08:09:41.690441274,25.13296768961964,27.27106470556303,-44.993195,-42.780956,DUR,Present,Travelling,3.0
2662.json,1.100994531710178,0.0098303083188408,16,100.0,2020-07-18 08:09:57.297522551,2020-07-18 08:09:58.398517082,19.68294725486701,23.984507032435577,-51.67701,-47.383892,DUR,Present,Travelling,3.0
2705.json,1.0854992362008034,0.0098681748745527,34,98.70449965622404,2020-07-18 08:48:41.480611062,2020-07-18 08:48:42.566110299,17.486714559442856,21.90894121282241,-49.85544,-45.358707,AFT,Present,Socialising,10.0
2706.json,1.1388537642469885,0.0099030762108433,60,99.48249076826716,2020-07-18 08:48:49.989965743,2020-07-18 08:48:51.128819507,13.932110366287764,15.275138721599443,-55.05265,-53.67662,AFT,Present,Socialising,10.0
2711.json,1.0610329656084616,0.0098243793111894,34,99.77890131397976,2020-07-18 08:48:39.283787825,2020-07-18 08:48:40.344820790,17.771791657405114,21.86608698830676,-48.315926,-44.23008,AFT,Present,Socialising,10.0
2717.json,1.3424312478250044,0.0098708179987132,19,99.76262813503511,2020-07-18 08:48:56.490957801,2020-07-18 08:48:57.833389049,13.475116865169367,14.236604611549152,-55.05841,-54.370792,AFT,Present,Socialising,10.0
2719.json,1.3787569241374626,0.00991911456214,54,98.22022622951036,2020-07-18 08:48:52.283519669,2020-07-18 08:48:53.662276593,15.15957900299423,16.07553041392359,-52.880253,-51.969013,AFT,Present,Socialising,10.0
2740.json,1.2398346887081724,0.0099186775096653,55,96.85065599242628,2020-07-18 08:46:07.463004933,2020-07-18 08:46:08.702839621,10.216162852751904,11.59534649971204,-61.620403,-60.229435,DUR+AFT,Present,Socialising,10.0
