,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
1.json,1.1216696611008672,0.00983920755351638,51,93.72941913992477,2020-07-11 08:54:32.633429535,2020-07-11 08:54:33.755099196,,,,,,,,
1103.json,1.1596821104124828,0.0099118129095084,7,96.58185283181085,2020-07-11 09:33:56.544460739,2020-07-11 09:33:57.704142849,,,,,,,,
1114.json,1.1640597431329205,0.009864913077397631,46,95.94117948120946,2020-07-11 08:55:10.650365000,2020-07-11 08:55:11.814424743,,,,,,,,
112.json,1.9107546020322221,0.009900282912084052,18,92.69265308292998,2020-07-11 09:04:12.757646008,2020-07-11 09:04:14.668400610,,,,,,,,
1141.json,1.2318357552326376,0.009854686041861101,32,97.18206293807245,2020-07-11 11:51:54.928676177,2020-07-11 11:51:56.160511932,,,,,,,,
1148.json,1.2802041300803353,0.00984772407754104,57,97.41388684641701,2020-07-11 11:51:53.304775580,2020-07-11 11:51:54.584979710,,,,,,,,
1156.json,1.2494054127929957,0.009915915974547584,2,98.5690212920184,2020-07-11 11:51:50.090707449,2020-07-11 11:51:51.340112862,,,,,,,,
1165.json,1.2798293560858554,0.009921157799115158,30,97.0623885953937,2020-07-11 11:51:34.371417144,2020-07-11 11:51:35.651246500,,,,,,,,
1195.json,1.1763606138910419,0.009885383310008756,19,94.35810893380892,2020-07-11 09:01:58.228596538,2020-07-11 09:01:59.404957152,,,,,,,,
1214.json,1.2095317690191436,0.009914194828025767,70,95.91581751698084,2020-07-11 11:57:44.083748254,2020-07-11 11:57:45.293280023,,,,,,,,
1215.json,1.0322503152653226,0.009830955383479263,3,99.21640488313223,2020-07-11 11:57:47.281585959,2020-07-11 11:57:48.313836275,,,,,,,,
1222.json,1.0238634848686843,0.009844841200660426,75,96.88594734209278,2020-07-11 11:57:32.795627250,2020-07-11 11:57:33.819490735,,,,,,,,
1224.json,1.1012586928875194,0.009832666900781424,38,94.19012359331418,2020-07-11 11:57:47.307464101,2020-07-11 11:57:48.408722794,,,,,,,,
1227.json,1.0178735699273673,0.00988226766919774,12,96.71668184214222,2020-07-11 11:57:58.374682662,2020-07-11 11:57:59.392556232,,,,,,,,
1231.json,1.3395732464168262,0.009922764788272786,42,98.58004011312215,2020-07-11 11:57:58.648180243,2020-07-11 11:57:59.987753489,,,,,,,,
1239.json,1.040906052309257,0.009819868418011858,8,98.08975547981125,2020-07-11 11:57:28.450891587,2020-07-11 11:57:29.491797639,,,,,,,,
1247.json,1.2910317313485464,0.009855204056095775,58,96.4110035752545,2020-07-11 11:57:47.735891112,2020-07-11 11:57:49.026922843,,,,,,,,
1259.json,1.0782534932491337,0.009892233883019574,72,95.69880018989336,2020-07-11 11:57:00.011685336,2020-07-11 11:57:01.089938829,,,,,,,,
1263.json,1.1022165658529204,0.009841219337972504,27,97.10303717629985,2020-07-11 11:57:43.444328502,2020-07-11 11:57:44.546545067,,,,,,,,
127.json,1.0795836827713856,0.009904437456618216,1,94.89803018282029,2020-07-11 11:41:38.614066938,2020-07-11 11:41:39.693650620,,,,,,,,
1270.json,1.1357628816986178,0.009876198971292329,4,98.30107646780196,2020-07-11 11:57:49.216695882,2020-07-11 11:57:50.352458764,,,,,,,,
1274.json,1.1213861363606625,0.009836720494391776,4,98.07639669837972,2020-07-11 11:57:56.172165276,2020-07-11 11:57:57.293551413,,,,,,,,
1283.json,1.069629853144015,0.009903980121703841,21,91.85201040231415,2020-07-11 11:57:51.125927663,2020-07-11 11:57:52.195557516,,,,,,,,
1294.json,1.127849620050661,0.00989341771974264,10,97.71297448258244,2020-07-11 11:57:31.331822424,2020-07-11 11:57:32.459672044,,,,,,,,
1300.json,1.1301899995339966,0.009827739126382578,40,98.7456377241321,2020-07-11 11:57:55.280629249,2020-07-11 11:57:56.410819249,,,,,,,,
1308.json,1.2220233537263567,0.009855027046180296,48,98.84902448816776,2020-07-11 11:57:50.565234595,2020-07-11 11:57:51.787257948,,,,,,,,
1320.json,1.1883976672907117,0.009903313894089265,22,97.37337844395488,2020-07-11 11:57:09.063797324,2020-07-11 11:57:10.252194990,,,,,,,,
1325.json,1.150742883241513,0.009835409258474469,3,98.54112409473042,2020-07-11 11:57:29.436075190,2020-07-11 11:57:30.586818073,,,,,,,,
1338.json,1.1537813707422444,0.0098613792371132,33,97.27827600794242,2020-07-11 11:50:34.297491793,2020-07-11 11:50:35.451273164,,,,,,,,
1340.json,1.1130321499842815,0.009849842035259128,2,98.17827515919491,2020-07-11 11:50:26.352710834,2020-07-11 11:50:27.465742984,,,,,,,,
1342.json,1.0988124975601998,0.00989921168973153,45,96.09666455456029,2020-07-11 11:50:03.528191128,2020-07-11 11:50:04.627003625,,,,,,,,
1347.json,1.0010053032719881,0.009813777483058707,8,98.61061906962867,2020-07-11 11:50:50.905107262,2020-07-11 11:50:51.906112566,,,,,,,,
135.json,1.020782647620166,0.00981521776557852,47,97.42269430696693,2020-07-11 11:41:25.982520661,2020-07-11 11:41:27.003303308,,,,,,,,
1351.json,1.933990479012742,0.009917899892373036,56,94.39598340532407,2020-07-11 11:50:49.231461656,2020-07-11 11:50:51.165452135,,,,,,,,
1354.json,1.1176191826762363,0.009890435244922445,20,95.90204980574148,2020-07-11 11:50:13.438208239,2020-07-11 11:50:14.555827422,,,,,,,,
1361.json,1.4958005599253426,0.009905963973015514,62,95.46504516747208,2020-07-11 11:50:16.669777363,2020-07-11 11:50:18.165577923,,,,,,,,
1362.json,1.688350497383091,0.009931473514018182,31,97.43054744812035,2020-07-11 11:50:31.702447858,2020-07-11 11:50:33.390798356,,,,,,,,
139.json,1.1675636698384437,0.009894607371512236,49,95.34967564769593,2020-07-11 11:41:14.802102864,2020-07-11 11:41:15.969666534,,,,,,,,
142.json,1.0290124685743507,0.009894350659368757,6,98.3389556632051,2020-07-11 11:41:17.810693194,2020-07-11 11:41:18.839705662,,,,,,,,
150.json,1.2451198474629948,0.009881903551293609,73,96.24448726222784,2020-07-11 11:41:38.062279722,2020-07-11 11:41:39.307399569,,,,,,,,
157.json,1.1615941140874853,0.009844017915995637,13,100,2020-07-11 11:41:52.390568244,2020-07-11 11:41:53.552162358,,,,,,,,
163.json,1.082993688113124,0.009845397164664763,1,93.02509168399621,2020-07-11 11:41:19.308668100,2020-07-11 11:41:20.391661788,,,,,,,,
165.json,1.5806306072480218,0.009878941295300137,37,96.8836904003663,2020-07-11 11:41:30.815049969,2020-07-11 11:41:32.395680576,,,,,,,,
169.json,1.3038261565124643,0.009877470882670185,29,97.8205848703691,2020-07-11 11:41:34.075456606,2020-07-11 11:41:35.379282762,,,,,,,,
175.json,1.247687045752265,0.009902278140890992,66,97.47020112819781,2020-07-11 11:41:12.622463601,2020-07-11 11:41:13.870150647,,,,,,,,
185.json,1.1758432209038787,0.009881035469780494,64,95.51281778786779,2020-07-11 09:40:50.993200907,2020-07-11 09:40:52.169044127,,,,,,,,
193.json,1.2930930166256074,0.009870939058210744,63,96.20139758513318,2020-07-11 11:44:06.999066791,2020-07-11 11:44:08.292159808,,,,,,,,
199.json,1.2086800914151166,0.009907213864058333,11,97.63924447922912,2020-07-11 11:44:11.730913040,2020-07-11 11:44:12.939593132,,,,,,,,
217.json,1.0034506974160067,0.009837751935451045,65,95.34270822571567,2020-07-11 11:44:14.867646311,2020-07-11 11:44:15.871097009,,,,,,,,
221.json,1.2958272230369303,0.009891810862877331,68,96.99649504460966,2020-07-11 11:44:37.794960672,2020-07-11 11:44:39.090787895,,,,,,,,
25.json,1.0835291434627514,0.009850264940570468,35,97.70022958572899,2020-07-11 09:36:28.709227646,2020-07-11 09:36:29.792756790,,,,,,,,
264.json,1.0200385499614129,0.009808062980398201,74,94.93623520389669,2020-07-11 09:35:28.620183975,2020-07-11 09:35:29.640222525,,,,,,,,
275.json,1.2230095296442727,0.009862980077776393,50,94.94666480999365,2020-07-11 09:35:54.059199148,2020-07-11 09:35:55.282208678,,,,,,,,
31.json,1.4236768430875895,0.009886644743663816,43,96.1382087148481,2020-07-11 09:36:10.574723370,2020-07-11 09:36:11.998400213,,,,,,,,
329.json,1.053074516802549,0.009841817914042515,5,96.94394553668032,2020-07-11 09:38:01.455983647,2020-07-11 09:38:02.509058162,,,,,,,,
365.json,1.4320659915017515,0.0098763171827707,17,95.73492449420601,2020-07-11 11:58:43.602414782,2020-07-11 11:58:45.034480773,,,,,,,,
378.json,1.123469057941385,0.00985499173632794,60,97.77629831419647,2020-07-11 11:58:07.956048631,2020-07-11 11:58:09.079517689,,,,,,,,
403.json,1.6069695594093858,0.009919565181539419,34,97.06464834918353,2020-07-11 11:58:31.935042097,2020-07-11 11:58:33.542011656,,,,,,,,
409.json,1.1294930207185514,0.009907833515075012,59,97.50707241836221,2020-07-11 11:58:05.480199930,2020-07-11 11:58:06.609692950,,,,,,,,
414.json,1.1325050021071341,0.009847869583540296,25,92.87176921007469,2020-07-11 11:58:14.531204001,2020-07-11 11:58:15.663709005,,,,,,,,
426.json,1.1987685926559557,0.009907178451702114,3,99.14371846385191,2020-07-11 11:58:07.555455106,2020-07-11 11:58:08.754223699,,,,,,,,
437.json,1.111851753099586,0.00983939604512908,3,99.04950836039357,2020-07-11 11:58:21.221170511,2020-07-11 11:58:22.333022264,,,,,,,,
440.json,1.293121112416879,0.00987115352989984,9,100,2020-07-11 11:58:00.726540267,2020-07-11 11:58:02.019661379,,,,,,,,
455.json,1.2620202018161946,0.00985953282668902,3,98.55460980867223,2020-07-11 11:58:04.597689383,2020-07-11 11:58:05.859709585,,,,,,,,
464.json,1.247833622183709,0.009903441445902453,3,98.56903357079244,2020-07-11 11:58:22.916944407,2020-07-11 11:58:24.164778030,,,,,,,,
479.json,1.0156785296844149,0.009860956598877814,53,97.91099669122106,2020-07-11 13:21:58.144247434,2020-07-11 13:21:59.159925963,,,,,,,,
559.json,1.1785543654502106,0.009903818197060594,41,98.04400869907157,2020-07-11 11:43:31.162448923,2020-07-11 11:43:32.341003289,,,,,,,,
566.json,1.0398613518197557,0.009903441445902435,10,96.5795531490269,2020-07-11 11:43:26.500466604,2020-07-11 11:43:27.540327956,,,,,,,,
573.json,1.0318624183442182,0.009827261127087792,10,97.06009210637608,2020-07-11 11:43:29.604052793,2020-07-11 11:43:30.635915211,,,,,,,,
575.json,1.2798293560858554,0.009921157799115158,39,98.99068773027008,2020-07-11 11:43:47.113718171,2020-07-11 11:43:48.393547527,,,,,,,,
576.json,1.0188702438272514,0.009891944114827684,14,100,2020-07-11 11:43:53.461865658,2020-07-11 11:43:54.480735902,,,,,,,,
60.json,1.1080616584629226,0.009893407664847522,36,95.97276780524983,2020-07-11 09:36:20.615872048,2020-07-11 09:36:21.723933706,,,,,,,,
61.json,1.3752452054011783,0.009893850398569628,77,95.36100249658203,2020-07-11 09:36:35.299293428,2020-07-11 09:36:36.674538633,,,,,,,,
642.json,1.025274570390117,0.009858409330674202,5,97.53580484746483,2020-07-11 09:37:44.512492360,2020-07-11 09:37:45.537766932,,,,,,,,
666.json,1.3595380265087442,0.009923635229990834,44,95.39059226571624,2020-07-11 09:03:55.672857654,2020-07-11 09:03:57.032395681,,,,,,,,
733.json,1.0284223175142548,0.009888676129944759,76,95.87125624177972,2020-07-11 13:17:06.295080365,2020-07-11 13:17:07.323502682,,,,,,,,
740.json,1.2964685598450991,0.009896706563703046,15,97.44648214241491,2020-07-11 13:17:06.555832832,2020-07-11 13:17:07.852301392,,,,,,,,
788.json,1.0305431371104135,0.009814696543908699,71,94.76547955295386,2020-07-11 11:56:22.076034522,2020-07-11 11:56:23.106577660,,,,,,,,
811.json,1.0813662382287745,0.009830602165716133,23,96.61084249455372,2020-07-11 11:56:34.507597659,2020-07-11 11:56:35.588963898,,,,,,,,
824.json,1.0461571803731502,0.00986940736201085,4,98.32182952594066,2020-07-11 11:56:57.289380498,2020-07-11 11:56:58.335537678,,,,,,,,
831.json,1.34091561961678,0.009859673673652794,3,97.77679456466238,2020-07-11 11:56:02.826528721,2020-07-11 11:56:04.167444341,,,,,,,,
843.json,1.0151141514995743,0.009855477199024992,26,95.4382067095695,2020-07-11 11:56:56.413354240,2020-07-11 11:56:57.428468391,,,,,,,,
