,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
13734.json,1.1106286927428002,0.0098285725021486,6,97.46409375641382,2022-07-21 07:38:10.435501037,2022-07-21 07:38:11.546129730,28.29420638598984,31.184622538175518,-59.51227,-56.521023,DUR,Absent,Travelling,5.0
13736.json,1.2881468112032692,0.0099088216246405,6,97.71202795967534,2022-07-21 07:38:43.500100000,2022-07-21 07:38:44.788246811,22.23348405626085,26.51798038718141,-60.968594,-56.673847,DUR,Absent,Travelling,5.0
13740.json,1.196173174228235,0.00988572871263,1,98.95426467305757,2022-07-21 07:38:34.382202863,2022-07-21 07:38:35.578376037,29.88718578515463,35.49258731058891,-59.5242,-53.918804,DUR,Absent,Travelling,5.0
13742.json,1.353266664905263,0.0098778588679216,6,98.59723549519502,2022-07-21 07:38:14.564944544,2022-07-21 07:38:15.918211209,22.783796781652114,25.18322379168342,-62.299892,-59.90965,DUR,Absent,Travelling,5.0
13743.json,1.15022146501353,0.0098309526924233,1,99.05040252492476,2022-07-21 07:38:43.968286955,2022-07-21 07:38:45.118508420,23.68284746367356,31.14100983718346,-57.305305,-49.827507,DUR,Absent,Travelling,5.0
13747.json,1.106869298733166,0.0098827615958318,1,99.46598906882356,2022-07-21 07:38:47.513664845,2022-07-21 07:38:48.620534143,33.22630159117335,40.57257788129848,-54.685513,-47.368435,DUR,Absent,Travelling,5.0
13749.json,1.04251424457901,0.0098350400431982,2,100.0,2022-07-21 07:56:45.155689022,2022-07-21 07:56:46.198203267,20.88894526163737,25.227519555525348,-54.2241,-50.058422,DUR,Absent,Travelling,4.0
13754.json,1.3322091754673906,0.0098682161145732,1,98.5304130114818,2022-07-21 07:36:46.393814158,2022-07-21 07:36:47.726023334,33.19982267561413,40.669225215911865,-57.12864,-49.66076,DUR,Absent,Travelling,5.0
13755.json,1.0555199891430682,0.0098646727957296,1,98.12181312012524,2022-07-21 07:36:17.827901868,2022-07-21 07:36:18.883421857,29.12144863157344,33.30549902664988,-62.97718,-58.793125,DUR,Absent,Travelling,5.0
13760.json,1.169986218854655,0.0099151374479208,1,99.07320033760362,2022-07-21 07:37:10.766564458,2022-07-21 07:37:11.936550677,31.747285077361024,37.27413042548562,-57.664383,-52.158463,DUR,Absent,Travelling,5.0
13762.json,1.1718365383439109,0.0098473658684362,1,99.07852434129552,2022-07-21 07:37:36.902097050,2022-07-21 07:37:38.073933588,31.653502464294437,36.98437940752184,-53.464706,-48.139656,DUR,Absent,Travelling,5.0
13765.json,1.2590786464598267,0.0099140050902348,1,98.61386134090426,2022-07-21 07:37:26.766061988,2022-07-21 07:37:28.025140635,31.11101800690657,37.312317662269066,-55.77545,-49.58641,DUR,Absent,Travelling,5.0
