,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
10032.json,1.0036594592655312,0.0098397986202503,98,100.0,2020-07-16 06:57:15.495922140,2020-07-16 06:57:16.499581599,20.624005415308197,23.57009061678188,-61.64079,-58.678158,DUR,Absent,Travelling,6.0
10078.json,1.3487071698412203,0.0099169644841266,17,98.54879854380113,2020-07-16 09:02:05.155887002,2020-07-16 09:02:06.504594172,18.301204049375634,21.40546101225904,-59.071785,-55.95041,DUR,Present,Travelling,6.0
10118.json,1.037467053724015,0.0098806386068953,167,97.92918721490372,2020-07-16 09:02:04.504588240,2020-07-16 09:02:05.542055294,13.345619230779985,16.374538130432594,-62.6345,-59.605576,DUR,Present,Travelling,6.0
10232.json,1.293968743174542,0.0098776239936987,109,100.0,2020-07-16 10:12:16.404095115,2020-07-16 10:12:17.698063858,16.25095356900268,21.897281424399534,-43.717377,-38.058193,DUR+AFT,Present,Milling,8.0
10236.json,1.6954833301186198,0.0099151071936761,83,98.46687103196302,2020-07-16 10:12:23.844550671,2020-07-16 10:12:25.540034001,19.197044524788296,23.3572734420848,-39.41826,-35.252743,DUR+AFT,Present,Milling,8.0
10245.json,1.718238466453391,0.009932014256956,22,100.0,2020-07-16 10:12:08.864762679,2020-07-16 10:12:10.583001145,8.751695738898384,13.101301943814311,-48.13712,-43.78751,DUR+AFT,Present,Milling,8.0
10249.json,1.0523406083984952,0.0098349589569952,54,100.0,2020-07-16 10:12:49.664686983,2020-07-16 10:12:50.717027591,17.87333904613148,19.46092784765995,-54.818043,-53.17385,DUR+AFT,Present,Milling,8.0
10252.json,1.207769677878865,0.0098997514580234,162,97.9819635523219,2020-07-16 10:12:42.649998622,2020-07-16 10:12:43.857768299,8.964068262200607,14.795612259915,-57.697716,-51.99185,DUR+AFT,Present,Milling,8.0
10255.json,1.7516147982725414,0.0098961288037996,209,97.75081986556604,2020-07-16 10:12:20.506919577,2020-07-16 10:12:22.258534376,17.01324074485085,20.420351522619075,-42.530003,-39.14589,DUR+AFT,Present,Milling,8.0
10256.json,1.458318947863816,0.009920537060298,43,96.39948813522298,2020-07-16 10:12:17.747918400,2020-07-16 10:12:19.206237348,20.21945694886921,23.411378235113425,-39.933475,-36.669304,DUR+AFT,Present,Milling,8.0
10260.json,1.1899882614568718,0.0099165688454739,11,99.09190579465636,2020-07-16 10:12:17.427088231,2020-07-16 10:12:18.617076493,25.515012869098843,30.078586603971136,-33.71038,-28.728962,DUR+AFT,Present,Milling,8.0
10264.json,1.0258937123483989,0.0098643626187346,261,97.16013139339545,2020-07-16 10:12:54.005267995,2020-07-16 10:12:55.031161708,20.43890670658082,23.65098403220953,-48.378994,-45.151066,DUR+AFT,Present,Milling,8.0
10267.json,1.3773365148564665,0.0099088957903342,104,100.0,2020-07-16 10:12:41.163429526,2020-07-16 10:12:42.540766041,18.55800149068667,23.14135172187937,-45.634804,-41.035557,DUR+AFT,Present,Milling,8.0
10269.json,1.066659105490345,0.0098764731989846,75,100.0,2020-07-16 10:12:40.239164233,2020-07-16 10:12:41.305823339,23.22144052875576,28.161220507835274,-37.54949,-32.559654,DUR+AFT,Present,Milling,8.0
10270.json,1.0938546114891423,0.0098545460494517,103,100.0,2020-07-16 10:12:35.659977270,2020-07-16 10:12:36.753831881,14.32538073995839,15.924023033916086,-52.33147,-50.732834,DUR+AFT,Present,Milling,8.0
10271.json,1.4383306828016913,0.0099195219503564,240,97.1031751122946,2020-07-16 10:12:57.888914474,2020-07-16 10:12:59.327245156,17.13589929612302,19.93961117149058,-51.076645,-48.2572,DUR+AFT,Present,Milling,8.0
10279.json,1.2238368217570983,0.0098696517883636,73,100.0,2020-07-16 10:12:07.646980403,2020-07-16 10:12:08.870817224,14.238519420871487,21.51988988108449,-46.132233,-38.720715,DUR+AFT,Present,Milling,8.0
10281.json,1.3212020459848084,0.0098597167610806,129,97.58168204175406,2020-07-16 10:12:09.035403864,2020-07-16 10:12:10.356605910,15.473221859299992,21.54715450700507,-40.79922,-34.734627,DUR+AFT,Present,Milling,8.0
10282.json,1.263758478768079,0.0098731131153756,116,98.82661622833152,2020-07-16 10:12:09.790617821,2020-07-16 10:12:11.054376300,23.94164340900925,28.168370948647556,-31.848818,-27.660086,DUR+AFT,Present,Milling,8.0
10283.json,1.2924802623764435,0.0098662615448583,129,99.03511241267934,2020-07-16 10:12:10.023771123,2020-07-16 10:12:11.316251386,18.300171343095464,24.49502394974597,-38.7639,-32.530334,DUR+AFT,Present,Milling,8.0
10286.json,1.1539398943831518,0.0098627341400269,6,97.77043532735978,2020-07-16 10:12:09.983222723,2020-07-16 10:12:11.137162617,25.279026715508824,28.598199962747508,-29.674625,-26.35584,DUR+AFT,Present,Milling,8.0
10290.json,1.1927987780885871,0.0098578411412279,134,98.28937405240598,2020-07-16 10:12:10.855013331,2020-07-16 10:12:12.047812109,15.628618545532229,23.539753850301107,-42.5077,-34.579,DUR+AFT,Present,Milling,8.0
10294.json,2.47176290700226,0.0099267586626596,139,96.51260339897829,2020-07-16 10:12:11.064513400,2020-07-16 10:12:13.536276306,17.627470521003968,22.387056707566785,-39.472828,-34.724537,DUR+AFT,Present,Milling,8.0
10298.json,1.392161746664298,0.009873487564995,121,100.0,2020-07-16 10:12:12.510739680,2020-07-16 10:12:13.902901427,15.532726603916712,20.789767968314035,-41.364124,-36.14133,DUR+AFT,Present,Milling,8.0
10299.json,1.0390527599496888,0.0098957405709494,251,97.13908773409162,2020-07-16 10:12:12.286033962,2020-07-16 10:12:13.325086722,15.685685660092885,18.03258700771186,-34.093693,-31.746794,DUR+AFT,Present,Milling,8.0
10303.json,1.1302866608233195,0.0098285796593332,275,97.06910141133012,2020-07-16 10:12:13.455179506,2020-07-16 10:12:14.585466167,21.052812106172805,23.016105369782785,-31.941402,-29.910357,DUR+AFT,Present,Milling,8.0
10304.json,1.856778834446676,0.0099292985799287,105,100.0,2020-07-16 10:12:13.424768206,2020-07-16 10:12:15.281547040,16.36927706182259,22.1047925826306,-38.730183,-32.881866,DUR+AFT,Present,Milling,8.0
10305.json,1.7266860498676078,0.0099234830452161,200,96.63719292692556,2020-07-16 10:12:13.526139207,2020-07-16 10:12:15.252825257,15.84195995770292,18.85851923331687,-36.66225,-33.679947,DUR+AFT,Present,Milling,8.0
10311.json,1.9832014742705224,0.0099160073713526,271,97.70433056387112,2020-07-16 10:12:14.783139619,2020-07-16 10:12:16.766341093,19.489789763607654,24.29026799795618,-38.39744,-33.546627,DUR+AFT,Present,Milling,8.0
10314.json,1.1827231269586616,0.0098560260579888,271,98.84636137767968,2020-07-16 10:12:15.001087271,2020-07-16 10:12:16.183810398,14.92094197369262,18.99621923817884,-42.20799,-38.14891,DUR+AFT,Present,Milling,8.0
10315.json,1.4555108687410971,0.0099014344812319,263,100.0,2020-07-16 10:12:15.239033724,2020-07-16 10:12:16.694544593,15.679666873535822,20.96376287741739,-42.6689,-37.331497,DUR+AFT,Present,Milling,8.0
10316.json,1.0655253332824408,0.0098659753081707,27,98.80775443245324,2020-07-16 10:12:15.648600123,2020-07-16 10:12:16.714125457,19.34735884489837,24.074587560583044,-39.518368,-34.8502,DUR+AFT,Present,Milling,8.0
10317.json,1.0632273448677196,0.009844697637664,6,99.45739580170236,2020-07-16 10:12:18.550966034,2020-07-16 10:12:19.614193379,27.221850082055845,30.53720904108304,-31.904566,-28.715397,DUR+AFT,Present,Milling,8.0
10319.json,1.0000948090585349,0.0098048510692013,193,97.07587082536512,2020-07-16 10:12:19.383547695,2020-07-16 10:12:20.383642504,14.914236961849152,19.898317579239134,-42.199303,-37.184704,DUR+AFT,Present,Milling,8.0
10320.json,1.5544099499734472,0.0099007003183022,137,98.94595342071143,2020-07-16 10:12:19.481855691,2020-07-16 10:12:21.036265641,16.35687236296825,20.465657561864607,-41.35082,-37.228104,DUR+AFT,Present,Milling,8.0
10322.json,1.4838755127611378,0.0098925034184075,138,96.89819141178826,2020-07-16 10:12:19.923741711,2020-07-16 10:12:21.407617223,18.730824849938838,23.13800463112452,-39.294743,-34.926155,DUR+AFT,Present,Milling,8.0
10323.json,1.2027220034096366,0.0098583770771281,72,97.82491005423704,2020-07-16 10:12:21.140730785,2020-07-16 10:12:22.343452788,18.50377001983441,24.583566589860727,-42.549984,-36.500843,DUR+AFT,Present,Milling,8.0
10324.json,1.3586945975117537,0.0099174788139544,208,98.2562890531326,2020-07-16 10:12:21.755956017,2020-07-16 10:12:23.114650614,18.773306584497643,20.7189135077404,-43.133476,-41.17716,DUR+AFT,Present,Milling,8.0
10325.json,1.0901891840548714,0.0098215241806745,135,98.2181310769033,2020-07-16 10:12:22.907746652,2020-07-16 10:12:23.997935836,12.25985664868877,16.47990389635963,-47.37198,-43.17499,DUR+AFT,Present,Milling,8.0
