,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
7396.json,1.0158645513931504,0.0098627626348849,1,99.74259577333343,2020-07-14 06:43:25.388614851,2020-07-14 06:43:26.404479403,13.926782250404358,16.293250381946564,-54.799515,-52.433052,Control,Absent,Travelling,5.0
7397.json,1.167344952737322,0.0098927538367569,3,100.0,2020-07-14 06:43:10.152059200,2020-07-14 06:43:11.319404152,19.07971627371652,22.085180762673723,-58.205013,-55.228462,Control,Absent,Travelling,5.0
7417.json,1.0318624183442209,0.0098272611270878,2,100.0,2020-07-14 08:57:07.495000667,2020-07-14 08:57:08.526863085,17.4140991797814,24.68056215139536,-56.385624,-49.16501,Control,Absent,Travelling,6.0
7455.json,1.2637555497923394,0.0098730902327526,4,97.33095487602704,2020-07-14 09:03:25.459007617,2020-07-14 09:03:26.722763167,30.14270864042846,31.40614611547698,-48.139114,-46.871094,Control,Absent,Travelling,6.0
