,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
3222.json,1.62213007053262,0.0098910370154428,55,99.44677691402352,2022-07-18 18:38:55.552807658,2022-07-18 18:38:57.174937728,26.99440309113147,33.34573029536827,-62.645653,-56.287846,DUR,Absent,Socialising,5.0
3273.json,1.1444736095987622,0.0098661518068858,104,97.70243054073318,2022-07-18 19:42:22.172982210,2022-07-18 19:42:23.317455819,22.048469331529404,25.67991889847649,-60.714314,-57.091938,DUR,Absent,Travelling,6.0
3364.json,1.114552517085901,0.0098632966113796,2,100.0,2022-07-18 18:04:29.462237325,2022-07-18 18:04:30.576789842,22.424099239051763,26.300697191387204,-57.72604,-53.843204,AFT,Absent,Foraging,12.0
3368.json,1.4143245068283825,0.009890381166632,14,100.0,2022-07-18 17:51:01.989405707,2022-07-18 17:51:03.403730214,31.17670073134176,33.99179186445944,-44.04274,-41.275967,BEF,Absent,Attraction,12.0
3369.json,1.2187295612544735,0.009908370416703,54,98.3682212464212,2022-07-18 17:51:30.228718170,2022-07-18 17:51:31.447447731,17.987986371408102,22.019959194208283,-56.833927,-52.824955,BEF,Absent,Attraction,12.0
3374.json,1.010622449815699,0.0098118684448126,86,99.13688453266704,2022-07-18 17:51:21.982320827,2022-07-18 17:51:22.992943276,29.174535632133484,30.16720294952393,-46.36493,-45.284447,BEF,Absent,Attraction,12.0
3376.json,1.0140685153377351,0.0098453253916284,30,100.0,2022-07-18 17:51:05.960037626,2022-07-18 17:51:06.974106141,19.850293189287186,23.793783396482468,-57.231094,-53.2876,BEF,Absent,Attraction,12.0
3382.json,1.003981866674465,0.0098429594772006,113,98.2761361358998,2022-07-18 17:51:28.719112569,2022-07-18 17:51:29.723094436,29.035043340968336,31.65028879961629,-49.570976,-46.98712,BEF,Absent,Attraction,12.0
3434.json,1.008894620654182,0.0098911237319037,88,97.7616214315989,2022-07-18 19:16:42.649675863,2022-07-18 19:16:43.658570484,18.318002745861143,22.865734340637687,-59.84717,-55.296997,DUR,Absent,Foraging,4.0
3467.json,1.028247969335105,0.0098869997051452,38,99.59702021699512,2022-07-18 19:16:44.335776877,2022-07-18 19:16:45.364024846,21.82370358844136,26.45865811488425,-60.06642,-55.417908,DUR,Absent,Foraging,4.0
3468.json,1.023230492898021,0.009838754739404,79,99.5007140462871,2022-07-18 19:16:08.901748794,2022-07-18 19:16:09.924979287,18.300491658292074,22.962912182475247,-61.95538,-57.244934,DUR,Absent,Foraging,4.0
3478.json,1.0195477458862694,0.009898521804721,76,97.44927158197784,2022-07-18 19:16:07.698982733,2022-07-18 19:16:08.718530479,14.908804535865784,19.05548593401909,-64.52103,-60.376072,DUR,Absent,Foraging,4.0
3482.json,1.016975094418619,0.009873544606006,38,99.20546327562413,2022-07-18 19:16:34.096194958,2022-07-18 19:16:35.113170053,19.76699733734131,27.996185779571533,-62.232662,-53.907158,DUR,Absent,Foraging,4.0
3491.json,1.125610176814,0.0098737734808245,5,99.31211086397118,2022-07-18 19:16:38.893142399,2022-07-18 19:16:40.018752575,22.636397106546752,27.63603578486913,-57.614292,-52.61091,DUR,Absent,Foraging,4.0
3504.json,1.812916277398351,0.0099066463245811,57,100.0,2022-07-18 19:16:36.199988169,2022-07-18 19:16:38.012904446,23.97266302234801,27.70010601161335,-57.501377,-53.766605,DUR,Absent,Foraging,4.0
3518.json,1.122286546007782,0.0098446188246296,38,99.60403943639947,2022-07-18 19:16:29.926141485,2022-07-18 19:16:31.048428031,24.421366785613586,27.87316945572974,-56.365383,-52.913578,DUR,Absent,Foraging,4.0
3521.json,1.0217462292682562,0.0098244829737332,93,98.43962518908678,2022-07-18 19:16:16.280891914,2022-07-18 19:16:17.302638143,19.72354560674623,22.855529844298843,-59.828274,-56.69629,DUR,Absent,Foraging,4.0
3523.json,1.1636526678792904,0.0098614632871126,40,96.98270129659582,2022-07-18 19:16:38.174810655,2022-07-18 19:16:39.338463323,21.798107614322586,26.06710581876794,-59.83219,-55.57539,DUR,Absent,Foraging,4.0
3534.json,1.031921618652083,0.0098278249395436,65,98.9337119671773,2022-07-18 19:16:12.710741161,2022-07-18 19:16:13.742662780,21.633642783531776,26.02192881657527,-57.69335,-53.29566,DUR,Absent,Foraging,4.0
3555.json,1.1355415845022705,0.0098742746478458,98,97.90507797704794,2022-07-18 18:03:41.917119383,2022-07-18 18:03:43.052660968,29.888821928651183,34.47182830063613,-58.274208,-53.716614,AFT,Absent,Foraging,12.0
3559.json,1.026246140972809,0.0098677513555077,46,97.61732510744936,2022-07-18 18:03:31.505333430,2022-07-18 18:03:32.531579571,23.91724960563719,29.23393465382184,-65.52868,-60.211998,AFT,Absent,Foraging,12.0
3569.json,1.0586821770730648,0.0098942259539538,81,98.44103092156875,2022-07-18 18:43:05.965972989,2022-07-18 18:43:07.024655166,28.952994697972347,30.97484597227627,-53.63989,-51.66873,DUR,Absent,Socialising,4.0
3575.json,1.6330554153511514,0.0098973055475827,50,98.89295152784582,2022-07-18 18:43:15.330488392,2022-07-18 18:43:16.963543807,24.621203371373618,28.454963907381384,-57.52938,-53.735256,DUR,Absent,Socialising,4.0
3580.json,1.360208272185505,0.0098565816825036,13,98.40262835656976,2022-07-18 18:43:03.451929406,2022-07-18 18:43:04.812137679,29.595877374124807,32.21321134957654,-52.420815,-49.80422,DUR,Absent,Socialising,4.0
3589.json,1.1442372585139786,0.0098641142975342,26,99.42901495005272,2022-07-18 18:43:16.082938813,2022-07-18 18:43:17.227176072,17.71497294637892,20.61903625064426,-62.563007,-59.65895,DUR,Absent,Socialising,4.0
3602.json,1.4021860848860683,0.0098745498935638,85,98.86011968541298,2022-07-18 18:52:36.825467983,2022-07-18 18:52:38.227654068,31.752423329786826,32.23151018402793,-53.144566,-52.69374,BEF,Absent,Foraging,5.0
3616.json,1.5784166146429186,0.0099271485197667,1,98.82614282628982,2022-07-18 17:17:47.351657965,2022-07-18 17:17:48.930074580,20.70639086251307,24.076009904495397,-59.23112,-56.232624,DUR,Absent,Attraction,4.0
3617.json,1.521203219229399,0.009877942982009,67,98.90841123880728,2022-07-18 17:17:46.771110276,2022-07-18 17:17:48.292313495,22.322516775880185,25.11165906496697,-57.2934,-54.607452,DUR,Absent,Attraction,4.0
3625.json,1.3919203379745633,0.0098717754466281,50,99.5850212326516,2022-07-18 17:17:01.669109055,2022-07-18 17:17:03.061029393,24.625743909563337,27.142394648960657,-57.51479,-55.05442,DUR,Absent,Attraction,4.0
3641.json,1.040733063762087,0.0098182364505857,26,99.23245014115032,2022-07-18 17:17:02.167827057,2022-07-18 17:17:03.208560121,15.37217266868999,20.58370333955488,-65.504234,-60.423702,DUR,Absent,Attraction,4.0
3647.json,1.1670547675190264,0.0098902946399917,60,100.0,2022-07-18 18:39:50.147933723,2022-07-18 18:39:51.314988491,34.62445366788073,36.48331389135244,-52.08201,-50.223145,DUR,Absent,Attraction,5.0
3665.json,1.4279550084208412,0.0099163542251447,4,97.4063601399486,2022-07-18 19:09:03.857010955,2022-07-18 19:09:05.284965964,20.95286930931939,24.382903416951496,-53.300888,-49.88699,DUR,Absent,Foraging,4.0
3666.json,1.0941110414111197,0.009856856228929,5,99.45073072626624,2022-07-18 19:09:11.799757358,2022-07-18 19:09:12.893868400,20.663329525270324,24.882431638413586,-56.77239,-52.535816,DUR,Absent,Foraging,4.0
3696.json,1.5511498395080228,0.0098799352834905,23,100.0,2022-07-18 19:09:09.623360226,2022-07-18 19:09:11.174510065,11.938041745699367,15.830696223332332,-63.815483,-59.85449,DUR,Absent,Foraging,4.0
3750.json,1.1787860025117285,0.0099057647269893,70,98.35789542275153,2022-07-18 19:17:31.629339997,2022-07-18 19:17:32.808125999,20.813590132950136,25.838072399165007,-61.353706,-56.313835,DUR,Absent,Foraging,4.0
3762.json,1.111134439849014,0.0098330481402567,77,97.98887823974542,2022-07-18 19:17:15.054735839,2022-07-18 19:17:16.165870278,18.55962093898228,22.41939465659005,-61.892216,-58.033688,DUR,Absent,Foraging,4.0
3861.json,1.1845535787574946,0.0098712798229791,5,99.41792935498523,2022-07-18 19:06:17.138617105,2022-07-18 19:06:18.323170684,27.80062085350088,31.382633465248468,-54.053253,-50.48794,DUR,Absent,Foraging,4.0
3865.json,1.112774314689254,0.0098475603069845,73,96.96967669294516,2022-07-18 19:06:35.709460280,2022-07-18 19:06:36.822234595,20.681825992039272,22.18228209359305,-59.211983,-57.681396,DUR,Absent,Foraging,4.0
3883.json,1.5321553661552834,0.009884873330034,62,100.0,2022-07-18 17:38:13.801331879,2022-07-18 17:38:15.333487245,14.57401580019936,16.71353240334308,-55.23462,-53.11675,DUR,Absent,Foraging,10.0
3886.json,1.2618666215204026,0.0098583329806281,9,100.0,2022-07-18 17:38:15.559856148,2022-07-18 17:38:16.821722769,9.74957872786612,11.966594096249754,-59.88276,-57.651043,DUR,Absent,Foraging,10.0
3889.json,1.1169584197130895,0.0098845877850715,14,97.3530774325963,2022-07-18 17:38:27.399047651,2022-07-18 17:38:28.516006070,21.48404306722871,24.39384208841527,-50.443935,-47.651215,DUR,Absent,Foraging,10.0
3893.json,1.0335770526084236,0.009843590977223,97,99.4562125211123,2022-07-18 17:38:11.149382678,2022-07-18 17:38:12.182959731,16.620856475830077,19.849351853590747,-52.831203,-49.689575,DUR,Absent,Foraging,10.0
3901.json,1.292896500326048,0.0098694389337866,52,99.1478328141337,2022-07-18 17:38:13.656428622,2022-07-18 17:38:14.949325123,17.01290512084961,20.32424521885035,-52.46096,-49.181244,DUR,Absent,Foraging,10.0
3935.json,1.1568217134142458,0.0098873650719166,107,99.45582527537026,2022-07-18 16:49:47.388705550,2022-07-18 16:49:48.545527263,23.276379415433706,25.845986849641147,-60.360413,-57.851437,Control,Absent,Foraging,6.0
3957.json,1.0643920178489663,0.0098554816467496,12,98.66074710290049,2022-07-18 18:32:52.789934770,2022-07-18 18:32:53.854326787,20.07426432709196,26.06036917843036,-66.7513,-60.76815,AFT,Absent,Foraging,7.0
3963.json,1.3076017222215803,0.0099060736531937,74,98.18608957454956,2022-07-18 18:32:26.873974735,2022-07-18 18:32:28.181576457,21.33687517119617,25.427182569736388,-61.84681,-57.773552,AFT,Absent,Foraging,7.0
3973.json,1.314637857805998,0.0098844951714736,41,100.0,2022-07-18 18:32:48.835150551,2022-07-18 18:32:50.149788408,18.02761417986399,21.26988932598068,-61.62993,-58.27386,AFT,Absent,Foraging,7.0
3980.json,1.0754891358624905,0.0098668728060778,44,99.44404949501072,2022-07-18 18:32:39.210528248,2022-07-18 18:32:40.286017384,25.89485677083333,29.32550144901982,-59.08894,-55.81532,AFT,Absent,Foraging,7.0
