,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
1622.json,1.18951707582273,0.009912642298523,125,98.57582767371,2022-07-17 17:52:31.204593207,2022-07-17 17:52:32.394110283,27.9701016235352,35.2822813288371,-54.007652,-46.711727,AFT,Absent,Foraging,8,36
1680.json,1.35302437815871,0.009876090351523,130,98.6484389274616,2022-07-17 17:29:35.557304077,2022-07-17 17:29:36.910328455,26.3496291216682,32.2875124314252,-50.879112,-44.940876,AFT,Absent,Attraction,5,18
1687.json,1.21426174171685,0.009872046680625,129,96.6852403531943,2022-07-17 17:29:16.165069628,2022-07-17 17:29:17.379331370,24.9809267380658,31.4857124627805,-54.256588,-47.779305,AFT,Absent,Attraction,5,1
1712.json,1.00534448428096,0.009856318473343,131,99.7200881976499,2022-07-17 17:29:42.477000467,2022-07-17 17:29:43.482344952,19.8462379635788,20.4291564460814,-57.71125,-57.078506,AFT,Absent,Attraction,5,37
1721.json,1.01153121956884,0.009820691452125,128,99.4966997330133,2022-07-17 17:29:41.705205240,2022-07-17 17:29:42.716736460,18.7397786538432,22.8275680241622,-58.87001,-54.820473,AFT,Absent,Attraction,5,23
1725.json,1.44522309086992,0.00989878829363,129,97.2600911494836,2022-07-17 17:29:30.777534150,2022-07-17 17:29:32.222757241,13.6826260603594,18.448068713615,-64.34479,-59.579346,AFT,Absent,Attraction,5,1
1732.json,1.11700697800202,0.009885017504443,132,100,2022-07-17 17:29:22.628788809,2022-07-17 17:29:23.745795787,25.7108820380894,27.285626891657,-54.37281,-52.756134,AFT,Absent,Attraction,5,45
1736.json,1.12479701641206,0.009866640494843,133,98.7635969181602,2022-07-17 17:29:45.678704808,2022-07-17 17:29:46.803501824,29.5727262429312,35.7534799913988,-47.25549,-41.052444,AFT,Absent,Attraction,5,104
1782.json,1.0393143120664,0.009898231543489,134,98.5477591660812,2022-07-17 17:26:44.812333739,2022-07-17 17:26:45.851648051,29.1810183051888,34.9253898649725,-42.396408,-36.57736,DUR,Absent,Attraction,5,106
1786.json,1.02428389522885,0.00984888360797,135,97.0104953996304,2022-07-17 17:32:49.451532200,2022-07-17 17:32:50.475816096,35.8747688707455,38.0823418964711,-45.797096,-43.553795,DUR,Absent,Foraging,5,103
1792.json,1.09650974304719,0.009878466153578,129,98.100778251976,2022-07-17 17:32:02.742237044,2022-07-17 17:32:03.838746787,19.7859994639521,26.7519368157871,-61.78197,-54.78718,DUR,Absent,Foraging,5,1
1801.json,1.12067589144829,0.009830490275862,135,97.439031104572,2022-07-17 17:32:45.694361023,2022-07-17 17:32:46.815036915,33.0504969874172,37.8260376842309,-45.22787,-40.359764,DUR,Absent,Foraging,5,103
1809.json,1.0583242179624,0.009890880541705,133,98.1579400491539,2022-07-17 17:32:36.764177577,2022-07-17 17:32:37.822501795,23.7675306563987,28.5073257388925,-56.621582,-51.86105,DUR,Absent,Foraging,5,104
1826.json,1.05464822344791,0.009856525452784,129,98.4604833957445,2022-07-17 17:32:16.647597150,2022-07-17 17:32:17.702245373,16.3826944164764,22.3489688213607,-62.69336,-56.772404,DUR,Absent,Foraging,5,1
1874.json,1.21446190796211,0.009873674048472,136,99.2668186271564,2022-07-17 17:28:32.578799282,2022-07-17 17:28:33.793261190,22.3996831607195,26.387844185424,-56.252514,-52.2495,AFT,Absent,Attraction,5,80
