,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
5395.json,1.4836943836400351,0.009891295890933568,89,98.63670896066454,2020-07-12 14:01:14.970111776,2020-07-12 14:01:16.453806159,,,,,,,,
5414.json,2.1279753797533516,0.009943810185763326,171,97.31611601246834,2020-07-12 14:01:04.164051027,2020-07-12 14:01:06.292026407,,,,,,,,
5421.json,1.2703969773950448,0.009848038584457711,91,97.74491323354069,2020-07-12 14:01:29.229536365,2020-07-12 14:01:30.499933342,,,,,,,,
5425.json,1.6142992491509247,0.009903676375159048,25,98.12802179256174,2020-07-12 14:26:35.857942890,2020-07-12 14:26:37.472242139,,,,,,,,
5431.json,1.294558818159679,0.009882128382898312,151,99.04973920664035,2020-07-12 14:26:35.448519168,2020-07-12 14:26:36.743077986,,,,,,,,
5432.json,1.0398613518197592,0.009903441445902468,44,99.23697810522515,2020-07-12 14:26:38.402879616,2020-07-12 14:26:39.442740968,,,,,,,,
5466.json,1.2738209322106062,0.00987458086984966,11,98.72878977562665,2020-07-12 14:05:10.860483781,2020-07-12 14:05:12.134304713,,,,,,,,
5472.json,1.1952410695093043,0.00987802536784549,121,98.97004371605476,2020-07-12 14:05:27.155465836,2020-07-12 14:05:28.350706906,,,,,,,,
5477.json,1.6315660966139127,0.009888279373417653,3,98.02881796901094,2020-07-12 14:05:22.918356924,2020-07-12 14:05:24.549923020,,,,,,,,
5478.json,1.1187290979317197,0.009900257503820528,170,97.45008979961959,2020-07-12 14:05:23.048634064,2020-07-12 14:05:24.167363162,,,,,,,,
5485.json,1.1621548115298062,0.009848769589235645,52,100,2020-07-12 14:05:12.111557911,2020-07-12 14:05:13.273712723,,,,,,,,
5491.json,1.2593456943445744,0.009916107829484839,31,100,2020-07-12 14:05:26.076026669,2020-07-12 14:05:27.335372364,,,,,,,,
5500.json,1.2117841984990534,0.009851904052837833,118,98.13204205006973,2020-07-12 14:05:22.459285094,2020-07-12 14:05:23.671069293,,,,,,,,
5506.json,1.271753041086889,0.009858550706099914,65,97.96027431428523,2020-07-12 14:05:20.747071244,2020-07-12 14:05:22.018824285,,,,,,,,
5508.json,2.26502049058076,0.009934300397284034,162,97.88230280713081,2020-07-12 14:05:38.676150883,2020-07-12 14:05:40.941171374,,,,,,,,
5515.json,1.0442850174778542,0.009851745447904285,142,98.03293800265371,2020-07-12 14:05:20.957996138,2020-07-12 14:05:22.002281156,,,,,,,,
5518.json,1.0587602553438806,0.009894955657419446,149,98.15918049278254,2020-07-12 14:05:19.950933161,2020-07-12 14:05:21.009693416,,,,,,,,
5520.json,1.0587602553438806,0.009894955657419446,148,98.8425182363944,2020-07-12 14:05:25.668652118,2020-07-12 14:05:26.727412373,,,,,,,,
5528.json,1.1756626661386242,0.009879518202845583,134,98.18126430187432,2020-07-12 14:05:28.863109767,2020-07-12 14:05:30.038772433,,,,,,,,
