,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
3187.json,1.1213948263345443,0.0098367967222328,2,99.47747207486688,2022-07-20 07:12:54.194967558,2022-07-20 07:12:55.316362384,37.67020708449344,42.27167253967718,-47.99755,-43.396084,DUR,Absent,Travelling,4.0
3188.json,1.8681197322315128,0.0099368070863378,1,100.0,2022-07-20 07:12:44.209376415,2022-07-20 07:12:46.077496147,33.015883184905746,36.69083554520567,-47.18337,-43.48496,DUR,Absent,Travelling,4.0
3189.json,1.216545857871374,0.0098906167306615,2,96.62803710223022,2022-07-20 07:12:48.250615474,2022-07-20 07:12:49.467161333,29.795838399650226,36.23570565616383,-59.12835,-52.688797,DUR,Absent,Travelling,4.0
