,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
12850.json,1.0487754571191663,0.0098941080860298,17,97.18352737637348,2022-07-16 19:08:23.965510780,2022-07-16 19:08:25.014286237,35.85445461851178,41.12373862122045,-39.40165,-34.13237,Control,Absent,Foraging,3.0
12851.json,1.0889569443181557,0.0098996085847105,5,98.41178437146644,2022-07-16 19:08:12.941673584,2022-07-16 19:08:14.030630529,32.12360460044694,37.03972500432147,-43.331924,-38.405956,Control,Absent,Foraging,3.0
12852.json,1.093571224105531,0.0098519930099597,5,98.96788156801844,2022-07-16 19:08:18.678825541,2022-07-16 19:08:19.772396766,32.26828023661738,35.92932387365811,-42.322124,-38.66932,Control,Absent,Foraging,3.0
12853.json,1.0835913959926131,0.0098508308726601,5,97.31536524846943,2022-07-16 19:08:20.874113909,2022-07-16 19:08:21.957705305,35.667926760280835,40.87173017333536,-38.60075,-33.422974,Control,Absent,Foraging,3.0
12855.json,1.015222135647143,0.0098565255888072,5,98.61581024114682,2022-07-16 19:08:36.459542149,2022-07-16 19:08:37.474764285,37.61262294650078,40.398798272013664,-39.013268,-36.29524,Control,Absent,Foraging,3.0
12856.json,1.1963255340533294,0.0098869878847382,5,98.349301824814,2022-07-16 19:08:54.265560732,2022-07-16 19:08:55.461886267,23.846148636167413,26.5679456698184,-56.46492,-53.758034,Control,Absent,Foraging,3.0
12857.json,1.1471468455036984,0.0098891969439974,22,98.30100267967582,2022-07-16 19:08:08.860982131,2022-07-16 19:08:10.008128976,27.337096479203964,32.3542030122545,-52.777145,-47.760036,Control,Absent,Foraging,3.0
12858.json,1.0065690053895224,0.0098683235822502,5,99.47516985797084,2022-07-16 19:08:43.120436870,2022-07-16 19:08:44.127005875,26.566261952317607,30.114055603507936,-54.697186,-51.118042,Control,Absent,Foraging,3.0
12860.json,1.0047038979326093,0.0098500382150255,5,99.014535197381,2022-07-16 19:08:14.759404354,2022-07-16 19:08:15.764108252,33.59540255989615,38.94516246525321,-40.235004,-34.88735,Control,Absent,Foraging,3.0
12861.json,1.0532535236194676,0.0098434908749482,5,99.21964551410922,2022-07-16 19:08:38.557946856,2022-07-16 19:08:39.611200379,39.18561627094011,43.72150461297287,-40.17739,-35.58203,Control,Absent,Foraging,3.0
12862.json,1.1190934343402874,0.0099034817198255,5,98.21094803497375,2022-07-16 19:08:01.728393718,2022-07-16 19:08:02.847487152,30.628172718886788,33.033321786434094,-47.711216,-45.30606,Control,Absent,Foraging,3.0
12863.json,1.094865876266983,0.0098636565429457,5,100.0,2022-07-16 19:08:05.456260640,2022-07-16 19:08:06.551126516,33.1511210427768,38.02759264517522,-47.56317,-42.675526,Control,Absent,Foraging,3.0
12865.json,1.2282396085037064,0.0099051581330944,5,98.77397161277294,2022-07-16 19:08:47.785628583,2022-07-16 19:08:49.013868191,32.10776699435326,35.818536549229776,-49.88988,-46.199123,Control,Absent,Foraging,3.0
12866.json,1.2568692755509012,0.0098966084689047,9,97.90571898501707,2022-07-16 19:04:18.308162411,2022-07-16 19:04:19.565031687,14.472846308840982,18.05486157574231,-57.465958,-53.897114,Control,Absent,Foraging,3.0
12868.json,1.8147540700008893,0.0099166889071086,9,99.75190777581813,2022-07-16 19:04:12.650189723,2022-07-16 19:04:14.464943793,14.307449591787238,16.597383532607765,-60.691647,-58.41854,Control,Absent,Foraging,3.0
