,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
7462.json,1.0376864436695143,0.0098827280349477,199,99.23685749010528,2020-07-13 08:20:13.521564056,2020-07-13 08:20:14.559250500,10.80658919938648,12.054174088339767,-60.07683,-58.843513,Control,Absent,Socialising,6.0
7468.json,1.2313908258476474,0.0098511266067811,96,100.0,2020-07-13 08:20:31.060699636,2020-07-13 08:20:32.292090462,12.79164332728232,15.078000271704887,-58.383102,-56.091564,Control,Absent,Socialising,6.0
7482.json,1.8838156517367004,0.0099148192196668,74,100.0,2020-07-13 06:48:25.550286024,2020-07-13 06:48:27.434101676,17.110831039364328,19.61628043903077,-56.81826,-54.30248,Control,Present,Attraction,10.0
7489.json,1.079061315131014,0.009899645092945,206,97.86651561971968,2020-07-13 06:48:51.737101720,2020-07-13 06:48:52.816163035,14.305779008304372,15.42951597886927,-57.1764,-55.967255,Control,Present,Attraction,10.0
7493.json,1.0333035878658023,0.0098409865511028,165,97.23969007826014,2020-07-13 06:48:31.732624080,2020-07-13 06:48:32.765927668,20.36187336261456,25.98344591580905,-53.948006,-48.326435,Control,Present,Attraction,10.0
7497.json,1.143847487001736,0.0098607541982908,79,100.0,2020-07-13 06:48:39.042794294,2020-07-13 06:48:40.186641781,14.680454836951364,17.845369550916885,-60.102146,-56.948322,Control,Present,Attraction,10.0
7500.json,1.323623984859676,0.0098777909317886,154,96.67589373950145,2020-07-13 06:48:28.128101158,2020-07-13 06:48:29.451725144,11.233935373272011,12.626000798391011,-58.955254,-57.503273,Control,Present,Attraction,10.0
7517.json,1.2055208525101122,0.0098813184631976,36,99.04745009938148,2020-07-13 06:48:32.265296085,2020-07-13 06:48:33.470816937,12.081534657257285,13.509472550145835,-60.371593,-59.006992,Control,Present,Attraction,10.0
7518.json,1.0478602852952932,0.0098854743895782,15,98.5035741974834,2020-07-13 06:48:35.115317958,2020-07-13 06:48:36.163178243,17.0410169543642,19.57269460504705,-55.42393,-52.785133,Control,Present,Attraction,10.0
7521.json,1.2958272230369303,0.0098918108628773,189,98.11733175899424,2020-07-13 06:48:41.194507399,2020-07-13 06:48:42.490334622,14.877310676808738,18.425328611596232,-59.199818,-55.662037,Control,Present,Attraction,10.0
7523.json,1.0751427791022294,0.0098636952211213,29,98.09248268137476,2020-07-13 06:48:58.920143981,2020-07-13 06:48:59.995286760,15.58965844048394,18.786545845314308,-61.57646,-58.316986,Control,Present,Attraction,10.0
7528.json,1.0759168318431946,0.0098707966224146,180,98.44451078363149,2020-07-13 06:46:55.626611051,2020-07-13 06:46:56.702527883,12.728625297546388,15.140274552737964,-56.69234,-54.301567,Control,Present,Attraction,12.0
7540.json,1.0231363090981809,0.009837849125944,94,100.0,2020-07-13 06:46:16.014228406,2020-07-13 06:46:17.037364715,11.789632989454638,16.256607114806656,-54.686485,-50.240513,Control,Present,Attraction,12.0
7545.json,1.153034122610734,0.0098549925009464,176,97.98605496404146,2020-07-13 06:46:32.812117904,2020-07-13 06:46:33.965152027,12.388573113803206,14.369021317054486,-58.16929,-56.263058,Control,Present,Attraction,12.0
7547.json,1.2077306330599598,0.0098994314185242,148,96.72927767273592,2020-07-13 06:46:34.149883095,2020-07-13 06:46:35.357613728,28.40997124973096,33.31250486875835,-34.62857,-29.739939,Control,Present,Attraction,12.0
7549.json,2.0169777033360177,0.0099358507553498,78,100.0,2020-07-13 06:46:37.531328908,2020-07-13 06:46:39.548306612,25.341692242226586,29.113422552116305,-39.781998,-36.049953,Control,Present,Attraction,12.0
7550.json,1.2493439694069437,0.0099154283286265,164,97.33396948868808,2020-07-13 06:46:45.272453124,2020-07-13 06:46:46.521797093,29.219690650891348,32.482894241430195,-40.036293,-36.77309,Control,Present,Attraction,12.0
7556.json,1.2369106764802709,0.0098952854118421,194,98.52335893890412,2020-07-13 06:46:50.676026283,2020-07-13 06:46:51.912936960,29.290318183409862,32.157279283572464,-40.421494,-37.535294,Control,Present,Attraction,12.0
7572.json,1.2013098372432154,0.0098468019446165,24,99.65760521803529,2020-07-13 06:46:35.128749473,2020-07-13 06:46:36.330059310,33.072765274553106,35.766468755456785,-22.872284,-19.96662,Control,Present,Attraction,12.0
7573.json,1.1846967755392157,0.0098724731294934,27,99.29090257991106,2020-07-13 06:46:36.154775985,2020-07-13 06:46:37.339472761,36.83050630556657,38.2515032723446,-31.443619,-30.022621,Control,Present,Attraction,12.0
7576.json,1.232254163596984,0.0098580333087758,99,100.0,2020-07-13 06:46:37.306106499,2020-07-13 06:46:38.538360662,30.9971980556365,32.7800165730138,-34.30862,-32.557724,Control,Present,Attraction,12.0
7577.json,1.0739183550980729,0.0098524619733768,156,98.56760684565508,2020-07-13 06:46:38.414043754,2020-07-13 06:46:39.487962109,19.77171005922205,24.34147031166974,-45.046677,-40.447533,Control,Present,Attraction,12.0
7581.json,1.0325330886237154,0.009833648463083,85,100.0,2020-07-13 06:46:41.261554181,2020-07-13 06:46:42.294087270,27.747178239088797,31.685240936279296,-40.283466,-36.370434,Control,Present,Attraction,12.0
7582.json,1.0502880134283077,0.0098157758264327,108,97.66103789054613,2020-07-13 06:46:42.813796139,2020-07-13 06:46:43.864084152,13.347378264692493,16.41967308790164,-57.170326,-54.177677,Control,Present,Attraction,12.0
7600.json,1.231681929588877,0.009853455436711,21,98.88505155560873,2020-07-13 07:36:12.894280763,2020-07-13 07:36:14.125962691,17.045801088886876,23.497993986068234,-46.588795,-40.133186,Control,Present,Attraction,8.0
7605.json,1.4265373940791264,0.009906509681105,181,99.09048262414888,2020-07-13 07:36:53.836585227,2020-07-13 07:36:55.263122621,16.581426260206435,19.61590383317736,-46.073483,-43.057842,Control,Present,Attraction,8.0
7614.json,1.180225043476418,0.0098352086956368,21,99.60901641436855,2020-07-13 07:36:07.595153010,2020-07-13 07:36:08.775378053,9.781908164153228,16.426119778607344,-53.751842,-47.097927,Control,Present,Attraction,8.0
7648.json,1.2478336221837123,0.0099034414459024,125,96.8175055183936,2020-07-13 08:18:48.089588055,2020-07-13 08:18:49.337421677,13.765876818614402,17.296420443589522,-62.286083,-58.748745,Control,Absent,Socialising,6.0
7669.json,1.0238634848686845,0.0098448412006604,193,99.4677561386014,2020-07-13 06:42:48.537528330,2020-07-13 06:42:49.561391814,22.78089987584787,26.27802663995314,-42.992226,-39.50584,BEF+DUR,Present,Attraction,10.0
7712.json,1.2554158842053802,0.009885164442562,131,96.98487123588268,2020-07-13 06:42:30.486092119,2020-07-13 06:42:31.741508003,27.369148495831062,34.139989871013015,-33.50052,-26.696203,BEF+DUR,Present,Attraction,10.0
7715.json,1.0961689291788517,0.009875395758368,65,96.63995780090532,2020-07-13 06:42:36.885071995,2020-07-13 06:42:37.981240924,11.01225659467172,14.15270719666412,-54.521088,-51.36707,BEF+DUR,Present,Attraction,10.0
7717.json,1.4638048260231995,0.0098905731488054,5,99.6585894744308,2020-07-13 06:42:48.297560325,2020-07-13 06:42:49.761365151,16.410191204236902,18.569503493930984,-51.37058,-49.211266,BEF+DUR,Present,Attraction,10.0
7733.json,1.3514932702850544,0.0098649143816427,3,99.76433148588244,2020-07-13 06:42:47.825623250,2020-07-13 06:42:49.177116521,23.550670130112596,27.517674008537742,-43.689796,-39.700344,BEF+DUR,Present,Attraction,10.0
7751.json,1.8368761382406635,0.0099290602067062,28,100.0,2020-07-13 11:49:09.993429405,2020-07-13 11:49:11.830305543,17.518410075794566,19.785637380756857,-59.69472,-57.427498,BEF+DUR,Absent,Travelling,12.0
7758.json,2.3929950183354745,0.0099294399101057,34,100.0,2020-07-13 11:49:05.011377338,2020-07-13 11:49:07.404372356,15.732187983194986,18.38060348510742,-57.40599,-54.756424,BEF+DUR,Absent,Travelling,12.0
7762.json,1.0666657023653414,0.0098765342811605,143,99.53988237513587,2020-07-13 11:49:29.289020601,2020-07-13 11:49:30.355686303,10.480639016450342,12.037826025663916,-61.809715,-60.101353,BEF+DUR,Absent,Travelling,12.0
7784.json,1.050642757750154,0.0098190911939266,7,100.0,2020-07-13 07:23:40.248928535,2020-07-13 07:23:41.299571293,14.801270167032875,20.377363580645937,-56.023254,-50.460762,Control,Present,Travelling,10.0
7785.json,1.0197125920961554,0.0099001222533607,126,98.6946947175536,2020-07-13 07:23:30.814218573,2020-07-13 07:23:31.833931165,20.263069211974624,22.28328459392222,-50.494057,-48.47384,Control,Present,Travelling,10.0
7795.json,1.038184310692344,0.0098874696256413,127,99.33423399308586,2020-07-13 07:23:34.328347215,2020-07-13 07:23:35.366531526,14.138670173058143,18.34400567274827,-55.261066,-51.136044,Control,Present,Travelling,10.0
