,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,sequence,fishing_net,behaviour,group_size
12935.json,1.1475041424592192,0.0098922770901656,13,100.0,2021-07-09 12:08:36.169593326,2021-07-09 12:08:37.317097469,14.355898645189074,18.567585362328423,-65.17783,-60.908665,BEF,Absent,Travelling,12.0
12942.json,1.005742229570174,0.0098602179369624,58,99.61228107054214,2021-07-09 12:13:39.260760375,2021-07-09 12:13:40.266502605,28.493568090003308,31.298534032866712,-58.86158,-56.271564,DUR+AFT,Absent,Foraging,12.0
12980.json,1.6793033665753043,0.0099367063110964,11,97.01299549781297,2021-07-09 11:25:56.126655988,2021-07-09 11:25:57.805959355,25.42146688162998,27.70132402899141,-52.280464,-50.066315,Control,Present,,
12988.json,1.0883907711736711,0.0098944615561242,15,100.0,2021-07-09 11:25:21.132185247,2021-07-09 11:25:22.220576018,24.84910196457466,29.254859367426292,-58.175545,-53.786865,Control,Present,,
12993.json,1.6814646321693516,0.0098909684245255,41,97.83162409061676,2021-07-09 11:25:57.373706236,2021-07-09 11:25:59.055170868,17.35959178689532,20.333624310968048,-52.245148,-49.32045,Control,Present,,
12994.json,1.5517886965264722,0.0098840044364743,6,97.03868507148084,2021-07-09 11:25:57.585510264,2021-07-09 11:25:59.137298961,20.1025019132174,22.649927814190203,-50.678257,-48.24509,Control,Present,,
13017.json,1.0615279732849388,0.0098289627156012,49,99.1212459761574,2021-07-09 11:16:12.977619228,2021-07-09 11:16:14.039147202,19.21020416715252,21.665546331832655,-62.642906,-60.187565,Control,Present,,
13026.json,1.4560986807458534,0.0099054332023527,50,99.34697063681143,2021-07-09 11:16:23.120447310,2021-07-09 11:16:24.576545991,26.10060920089972,29.63740105967704,-59.406506,-56.101078,Control,Present,,
13027.json,1.0497430272786374,0.0099032361064022,16,99.77643060329764,2021-07-09 11:16:25.622224030,2021-07-09 11:16:26.671967057,27.5985177935976,29.066427664323285,-57.472004,-56.004097,Control,Present,,
13043.json,1.0900249048206163,0.0098200441875731,55,97.68690302738754,2021-07-09 11:16:44.135267333,2021-07-09 11:16:45.225292238,14.347846121683608,18.00536207213019,-59.45584,-55.885822,Control,Present,,
