file_annot,whistle_ID,duration,min_freq,max_freq,start_freq,end_freq,activation_state,fishing_net,fishing_net_type,behaviour,sonar,signal_type,group_size,SNR,signal_dB,SNR_refined,signal_dB_refined
SCW1807_20200711_085400,0,0.311958405545923,10935.0765167982,22271.0130552892,14285.3735504413,22271.0130552892,DUR,Absent,SSF,Socialising,0,DOL4,8,18.153316783905,-56.96279,20.5350038528442,-54.62628
SCW1807_20200711_085400,1,1.12166966110087,7617.33097248894,17283.6004699074,17283.6004699074,10429.568682919,DUR,Absent,SSF,Socialising,0,DOL4,8,17.0469054499416,-50.895336,25.8375278364682,-42.056572
SCW1807_20200711_085400,2,0.246304220001029,8565.7656581564,14468.951470093,14468.951470093,11761.1771552308,DUR,Absent,SSF,Socialising,0,DOL4,8,18.0729816190658,-49.63724,25.1434088060933,-42.788292
SCW1807_20200711_085400,3,0.255965871217171,9744.23669638028,11891.8817073202,11891.8817073202,9744.23669638028,DUR,Absent,SSF,Socialising,0,DOL4,8,10.9681670448997,-60.852596,15.1228028499719,-56.80422
SCW1807_20200711_085400,4,0.423054703817269,8408.28977866608,12781.9668415192,8408.28977866608,10395.5096988377,DUR,Absent,SSF,Socialising,0,DOL4,8,23.3811677296956,-50.482822,26.8503465299253,-46.928173
SCW1807_20200711_085400,5,0.471636541060556,8407.41749162394,14432.974927651,11053.1602772205,14432.974927651,DUR,Absent,SSF,Socialising,0,DOL4,8,13.6920178731283,-59.329044,18.5388242721558,-54.44647
SCW1807_20200711_085400,6,0.52200971683045,7507.56932261336,13011.7983190475,7507.56932261336,11798.6952178597,DUR,Absent,SSF,Socialising,0,DOL4,8,14.7070348369541,-58.87734,21.8332344738405,-51.61586
SCW1807_20200711_085400,7,0.583922143714172,7845.39652943329,10335.4730411602,10260.4272190632,7845.39652943329,DUR,Absent,SSF,Socialising,0,DOL4,8,17.0864858885069,-56.761765,20.88751390818,-52.96073
SCW1807_20200711_085400,8,0.535261965071321,25347.3527268444,29757.9578148557,25347.3527268444,29757.9578148557,DUR,Absent,SSF,Socialising,0,DOL4,8,17.3378125920015,-56.01091,22.51635203642,-51.03525
SCW1807_20200711_085400,9,0.364371053821447,22550.2587215831,24855.7214680426,22858.8639711091,23349.0017203564,DUR,Absent,SSF,Socialising,0,DOL4,8,11.709741094838,-61.401337,17.3548807890519,-55.76333
SCW1807_20200711_085400,10,0.596973269428695,7806.51930349106,13928.350327385,11936.9113196123,13928.350327385,DUR,Absent,SSF,Socialising,0,DOL4,8,14.0731011440879,-54.24354,20.6483235108225,-47.782578
SCW1807_20200711_085400,11,0.207972270363951,11170.1907017472,12106.9736898857,12106.9736898857,11170.1907017472,DUR,Absent,SSF,Socialising,0,DOL4,8,10.6986931694878,-62.270878,14.1414813288936,-59.045097
SCW1807_20200711_085400,12,0.362284711811043,8502.66908141353,19150.1884212107,19150.1884212107,18186.4043430394,DUR,Absent,SSF,Socialising,0,DOL4,8,22.3424690910008,-50.78107,27.0996811078942,-46.033516
SCW1807_20200711_085400,13,0.42738147782277,9189.1756745636,14694.0562994519,12594.4904730531,14694.0562994519,DUR,Absent,SSF,Socialising,0,DOL4,8,26.1031557718913,-40.578568,31.08199762415,-35.528923
SCW1807_20200711_085400,14,0.343954139448073,9142.71182386331,9675.30833673212,9675.30833673212,9545.9150636479,DUR,Absent,SSF,Socialising,0,DOL4,8,10.6234345869585,-60.865944,12.5633664564653,-58.92602
SCW1807_20200711_085400,15,0.385600570666739,10292.5537980174,20435.2338587724,20435.2338587724,19246.9067389804,DUR,Absent,SSF,Socialising,0,DOL4,8,18.1849829226124,-53.308235,23.3186308413136,-48.172867
SCW1807_20200711_093600,16,0.164585187212902,10798.9690765918,11485.9498300434,11109.7460841056,10798.9690765918,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,11.2879855416038,-45.927235,13.0018579309637,-45.131107
SCW1807_20200711_093600,17,0.407945607252369,10797.2624090716,13158.6150560673,13158.6150560673,10797.2624090716,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,13.0860409369836,-58.99566,16.2545350148128,-55.787247
SCW1807_20200711_093600,18,0.327956272497,8598.55324694594,9495.25766533806,8863.54544775802,9440.38673679304,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,5.46629669552758,-63.08899,7.84520757765997,-60.558716
SCW1807_20200711_093600,19,0.213471876484061,10177.4150615641,14037.592628578,10177.4150615641,14037.592628578,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,20.5195698208279,-51.831257,21.3431149235478,-51.051044
SCW1807_20200711_093600,20,0.812580861526556,8060.63339564017,11938.7892245549,8614.6556569137,8364.45205504823,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,19.498129938163,-52.678944,22.8128567489923,-49.364216
SCW1807_20200711_093600,21,0.142355143621973,7750.04692693077,15605.8366507894,15605.8366507894,7750.04692693077,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,11.4841077704179,-58.15117,14.9771887126722,-54.649975
SCW1807_20200711_093600,22,0.148427315871896,8656.24339320699,9598.66375266017,9598.66375266017,9523.14767732451,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,12.5537405014038,-60.258095,18.9469053268433,-54.55376
SCW1807_20200711_093600,23,0.143980802559657,10333.976012372,11657.4131887371,11657.4131887371,10333.976012372,DUR,Present,chalut_blanc,Travelling,0,DOL4,8,9.80888687936883,-66.99279,16.5472628944799,-60.188953
