,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
5995.json,2020-07-12 14:02:51.887187601,2020-07-12 14:02:52.353135177,Control,Present,Attraction,2.0,2020-07-12 14:02:00,2020-07-12_13:42,2020-07-12_14:02
10165.json,2020-07-16 09:39:23.636848420,2020-07-16 09:39:24.004799360,Control,Present,Attraction,5.0,2020-07-16 09:39:00,2020-07-16_09:30,2020-07-16_09:39
4602.json,2022-07-18 19:41:00.123783795,2022-07-18 19:41:00.341938229,DUR,Absent,Travelling,6.0,2022-07-18 19:41:00,2022-07-18_19:28,2022-07-18_19:41
11736.json,2020-07-16 09:06:43.482618785,2020-07-16 09:06:43.846167240,DUR,Present,Travelling,5.0,2020-07-16 09:06:00,2020-07-16_08:58,2020-07-16_09:06
13404.json,2021-07-09 11:14:04.997948969,2021-07-09 11:14:05.100679862,Control,Present,,,2021-07-09 11:14:00,2021-07-09_11:09,2021-07-09_11:14
5486.json,2020-07-12 14:05:44.061638786,2020-07-12 14:05:44.372346654,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
433.json,2020-07-11 11:58:04.589779899,2020-07-11 11:58:05.234728085,DUR,Present,Travelling,6.0,2020-07-11 11:58:00,2020-07-11_11:40,2020-07-11_11:58
10596.json,2020-07-16 09:03:01.085213133,2020-07-16 09:03:01.351468999,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
8649.json,2020-07-13 06:40:15.813891481,2020-07-13 06:40:16.717770964,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:40:00,2020-07-13_06:37,2020-07-13_06:40
11343.json,2020-07-16 10:24:09.442116662,2020-07-16 10:24:10.324663412,DUR,Present,Attraction,3.0,2020-07-16 10:24:00,2020-07-16_10:21,2020-07-16_10:24
12831.json,2020-07-16 09:53:25.276629783,2020-07-16 09:53:25.540594587,DUR,Present,Attraction,7.0,2020-07-16 09:53:00,2020-07-16_09:51,2020-07-16_09:53
271.json,2020-07-11 09:35:17.085721904,2020-07-11 09:35:17.237701640,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
7541.json,2020-07-13 06:46:57.573135887,2020-07-13 06:46:58.268342107,Control,Present,Attraction,12.0,2020-07-13 06:46:00,2020-07-13_06:37,2020-07-13_06:46
1927.json,2022-07-17 17:28:37.269800495,2022-07-17 17:28:38.057957566,AFT,Absent,Attraction,5.0,2022-07-17 17:28:00,2022-07-17_17:21,2022-07-17_17:28
1555.json,2022-07-17 17:33:07.378732222,2022-07-17 17:33:07.667707457,DUR,Absent,Foraging,5.0,2022-07-17 17:33:00,2022-07-17_17:21,2022-07-17_17:33
3935.json,2022-07-18 16:49:47.388705550,2022-07-18 16:49:48.545527263,Control,Absent,Foraging,6.0,2022-07-18 16:49:00,2022-07-18_16:37,2022-07-18_16:49
3738.json,2022-07-18 19:17:00.750233066,2022-07-18 19:17:01.343120654,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
289.json,2020-07-11 09:35:47.225703240,2020-07-11 09:35:48.086365540,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
5248.json,2022-07-18 19:08:31.764958014,2022-07-18 19:08:32.234238697,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
2117.json,2022-07-17 18:43:32.040792464,2022-07-17 18:43:33.024485312,DUR,Absent,Travelling,10.0,2022-07-17 18:43:00,2022-07-17_18:41,2022-07-17_18:43
12381.json,2020-07-16 07:13:27.997776961,2020-07-16 07:13:28.959042454,DUR,Absent,Travelling,6.0,2020-07-16 07:13:00,2020-07-16_07:11,2020-07-16_07:13
1774.json,2022-07-17 17:24:47.828397607,2022-07-17 17:24:48.711898130,DUR,Absent,Milling,10.0,2022-07-17 17:24:00,2022-07-17_17:21,2022-07-17_17:24
5150.json,2022-07-18 17:41:40.946554797,2022-07-18 17:41:42.377844105,DUR,Absent,Foraging,10.0,2022-07-18 17:41:00,2022-07-18_17:37,2022-07-18_17:41
4276.json,2022-07-18 17:56:07.411035718,2022-07-18 17:56:08.115387730,DUR,Absent,Foraging,12.0,2022-07-18 17:56:00,2022-07-18_17:37,2022-07-18_17:56
4509.json,2022-07-18 18:41:46.774792224,2022-07-18 18:41:47.091247534,DUR,Absent,Attraction,5.0,2022-07-18 18:41:00,2022-07-18_18:23,2022-07-18_18:41
2812.json,2020-07-18 08:00:06.665991062,2020-07-18 08:00:07.050597803,DUR,Present,Travelling,3.0,2020-07-18 08:00:00,2020-07-18_07:53,2020-07-18_08:00
616.json,2020-07-11 08:57:06.343711827,2020-07-11 08:57:07.020221242,DUR,Absent,Socialising,8.0,2020-07-11 08:57:00,2020-07-11_08:36,2020-07-11_08:57
5662.json,2020-07-12 14:06:08.393706749,2020-07-12 14:06:08.621439878,Control,Present,Travelling,6.0,2020-07-12 14:06:00,2020-07-12_13:42,2020-07-12_14:06
6979.json,2020-07-12 09:40:54.716609175,2020-07-12 09:40:54.986223436,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
4576.json,2022-07-18 19:41:35.155749876,2022-07-18 19:41:35.723763482,DUR,Absent,Travelling,6.0,2022-07-18 19:41:00,2022-07-18_19:28,2022-07-18_19:41
2316.json,2022-07-17 17:40:30.141158929,2022-07-17 17:40:30.616008827,DUR,Absent,Attraction,8.0,2022-07-17 17:40:00,2022-07-17_17:21,2022-07-17_17:40
2606.json,2022-07-17 17:54:11.810945173,2022-07-17 17:54:12.415321137,DUR+AFT,Absent,Foraging,8.0,2022-07-17 17:54:00,2022-07-17_17:21,2022-07-17_17:54
5911.json,2020-07-12 10:10:58.296227170,2020-07-12 10:10:58.912145047,Control,Present,Travelling,5.0,2020-07-12 10:10:00,2020-07-12_10:09,2020-07-12_10:10
5075.json,2022-07-18 19:15:52.880979868,2022-07-18 19:15:53.060128753,DUR,Absent,Foraging,4.0,2022-07-18 19:15:00,2022-07-18_19:03,2022-07-18_19:15
10406.json,2020-07-16 10:10:25.058068594,2020-07-16 10:10:25.372616984,DUR,Present,Foraging,8.0,2020-07-16 10:10:00,2020-07-16_10:06,2020-07-16_10:10
4562.json,2022-07-18 19:04:58.272564436,2022-07-18 19:04:59.460988884,DUR,Absent,Foraging,8.0,2022-07-18 19:04:00,2022-07-18_19:03,2022-07-18_19:04
7711.json,2020-07-13 06:42:22.141047860,2020-07-13 06:42:22.333022264,BEF+DUR,Present,Attraction,10.0,2020-07-13 06:42:00,2020-07-13_06:37,2020-07-13_06:42
11143.json,2020-07-16 10:07:13.676253756,2020-07-16 10:07:14.646794270,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
7456.json,2020-07-14 09:03:48.124733646,2020-07-14 09:03:48.600677804,Control,Absent,Travelling,6.0,2020-07-14 09:03:00,2020-07-14_08:56,2020-07-14_09:03
7779.json,2020-07-13 07:23:19.197440341,2020-07-13 07:23:19.949340088,Control,Present,Travelling,10.0,2020-07-13 07:23:00,2020-07-13_07:18,2020-07-13_07:23
3703.json,2022-07-18 19:09:42.128484366,2022-07-18 19:09:42.312309835,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
1008.json,2020-07-11 08:58:39.474736702,2020-07-11 08:58:39.914678043,DUR,Absent,Socialising,8.0,2020-07-11 08:58:00,2020-07-11_08:36,2020-07-11_08:58
10807.json,2020-07-16 09:00:48.811697028,2020-07-16 09:00:49.696431551,DUR,Present,Travelling,6.0,2020-07-16 09:00:00,2020-07-16_08:58,2020-07-16_09:00
10671.json,2020-07-16 09:40:08.814142927,2020-07-16 09:40:09.667563639,Control,Present,Attraction,5.0,2020-07-16 09:40:00,2020-07-16_09:30,2020-07-16_09:40
4107.json,2022-07-18 19:48:34.016528049,2022-07-18 19:48:34.292977785,DUR,Absent,Foraging,10.0,2022-07-18 19:48:00,2022-07-18_19:28,2022-07-18_19:48
4381.json,2022-07-18 19:49:00.585464348,2022-07-18 19:49:00.712311917,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
6550.json,2020-07-12 14:00:28.823869682,2020-07-12 14:00:29.218450684,Control,Present,Attraction,2.0,2020-07-12 14:00:00,2020-07-12_13:42,2020-07-12_14:00
13730.json,2021-07-09 11:15:29.866060748,2021-07-09 11:15:30.918393472,Control,Present,,,2021-07-09 11:15:00,2021-07-09_11:09,2021-07-09_11:15
