,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file,duration,category
11792.json,2020-07-16 09:04:35.523184891,2020-07-16 09:04:35.807709358,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.284524467,0
11794.json,2020-07-16 09:04:52.795895692,2020-07-16 09:04:53.345689750,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.549794058,0
11796.json,2020-07-16 09:04:52.500483959,2020-07-16 09:04:53.359366219,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.85888226,0
11797.json,2020-07-16 09:04:44.561560035,2020-07-16 09:04:45.210611570,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.649051535,0
11798.json,2020-07-16 09:04:44.710138097,2020-07-16 09:04:44.871749323,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.161611226,0
11799.json,2020-07-16 09:04:24.130489366,2020-07-16 09:04:25.248939288,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,1.118449922,0
118.json,2020-07-11 09:04:29.692041061,2020-07-11 09:04:30.259965338,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04,0.567924277,0
1180.json,2020-07-11 11:51:36.307159045,2020-07-11 11:51:37.063813102,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.756654057,76
11801.json,2020-07-16 09:04:58.945111772,2020-07-16 09:04:59.717776866,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.772665094,0
11802.json,2020-07-16 09:04:11.861207842,2020-07-16 09:04:12.154763705,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.293555863,0
11803.json,2020-07-16 09:04:57.587958323,2020-07-16 09:04:58.275088536,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.687130213,0
11804.json,2020-07-16 09:04:04.676533318,2020-07-16 09:04:05.017300277,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.340766959,0
11805.json,2020-07-16 09:04:10.278308581,2020-07-16 09:04:10.781958346,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.503649765,0
11807.json,2020-07-16 09:04:27.073545450,2020-07-16 09:04:27.233130718,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.159585268,0
11808.json,2020-07-16 09:04:31.100961148,2020-07-16 09:04:31.266197152,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.165236004,0
11809.json,2020-07-16 09:04:46.302794098,2020-07-16 09:04:47.011063049,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.708268951,0
1181.json,2020-07-11 11:51:58.074344758,2020-07-11 11:51:58.376216504,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.301871746,0
11810.json,2020-07-16 09:04:46.918809530,2020-07-16 09:04:47.308655045,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.389845515,0
11811.json,2020-07-16 09:04:50.634400224,2020-07-16 09:04:52.112248279,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,1.477848055,0
11812.json,2020-07-16 09:04:52.836925099,2020-07-16 09:04:52.962748615,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.125823516,0
11813.json,2020-07-16 09:04:57.884479245,2020-07-16 09:04:58.172446678,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.287967433,0
11815.json,2020-07-16 09:04:57.664939716,2020-07-16 09:04:58.340665278,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04,0.675725562,0
11816.json,2020-07-16 09:32:10.469429297,2020-07-16 09:32:10.612752634,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.143323337,0
11817.json,2020-07-16 09:32:45.995724279,2020-07-16 09:32:46.183502133,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.187777854,0
